danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,cluster
0.667,0.793,0,-7.106,1,0.0505,0.0863,0,0.115,0.317,134.025,316KxG0zrro0QhXtFNSmUH,235267,4,10
0.727,0.45,2,-13.32,1,0.0291,0.127,0,0.0544,0.895,94.039,4DiNls6kFmF1ZittKsPsTc,239160,4,2
0.392,0.213,9,-12.494,1,0.0415,0.903,1.01E-06,0.12,0.312,100.518,4twhYPDyCP6ICeW3TtQVxP,203507,3,4
0.664,0.808,4,-4.31,0,0.0397,0.00285,0.00869,0.096,0.593,94.979,3r7bVFHopFj2g8U4yKEpGJ,243947,4,3
0.816,0.396,7,-10.508,0,0.292,0.613,0,0.0749,0.134,110.03,5y7hZOyub8suiBfzkR9v5R,210000,4,9
0.765,0.784,7,-5.215,0,0.0488,0.0222,0.00121,0.187,0.449,109.956,4YLtrBhzjsI2LT6ybXQHeD,196232,4,3
0.899,0.751,11,-4.063,0,0.311,0.0732,0,0.127,0.636,140.029,3LR0t8XqZ1FUj6nj01sXN0,198667,4,3
0.728,0.646,5,-4.387,0,0.0463,0.422,0,0.0899,0.46,103.983,3qjf2YP8G2RNFanYZDcZUk,200773,4,0
0.734,0.765,7,-5.562,1,0.0621,0.151,0,0.231,0.518,109.989,3DGar7krWlmrXRFHBcQF6z,163636,4,2
0.815,0.626,6,-5.139,1,0.103,0.267,1.31E-05,0.275,0.571,109.989,3clw56k8jqFaXnwdejV4Yo,217652,4,2
0.785,0.425,10,-6.665,1,0.137,0.0335,4.36E-06,0.108,0.192,174.028,5mu1uv8RmzDkF8foePK5qa,166627,4,10
0.514,0.693,9,-5.868,1,0.408,0.177,0,0.351,0.287,110.568,3EApebexZ7YqDIqw2EMTDh,240640,3,4
0.769,0.479,1,-5.339,1,0.0385,0.66,0,0.0914,0.803,96.051,2Yer0p7uB2lVBUAtANuuQp,164640,4,2
0.713,0.894,5,-3.48,0,0.0426,0.0211,0,0.37,0.614,96.068,2YwtJ5S6Y6Ei1kN9ekr5NI,164268,4,3
0.795,0.688,11,-7.964,0,0.333,0.00857,0,0.177,0.726,169.889,1Bt9KoI3RvWRBqGM7VuyoV,101647,4,7
0.75,0.606,10,-6.495,0,0.103,0.189,1.01E-06,0.112,0.225,145.015,2gMeCXs7Odwf3ZIcSJ5vvf,225560,4,0
0.826,0.528,10,-6.605,0,0.044,0.0117,0.000655,0.0885,0.231,89.5,61LkwzfoJxGFxnCzyevDpt,162508,4,0
0.612,0.524,10,-6.666,0,0.458,0.687,0.0204,0.0832,0.333,79.667,26a0ElNCiYFFU6ctqlYk31,271064,4,0
0.594,0.477,10,-9.514,1,0.0331,0.223,2.79E-06,0.0929,0.283,141.993,6eLUwUJbXC9E94RuP5Qg4Y,170678,4,10
0.535,0.975,0,-2.959,1,0.0647,0.0297,0.126,0.0482,0.689,96.004,2ZMI0QNoqU9fQZFirR9WpK,222960,4,2
0.691,0.795,8,-4.082,0,0.0972,0.00795,0,0.0878,0.628,137.994,6fUxgWa744fqILNOVFrysp,263118,4,3
0.785,0.716,1,-5.138,0,0.134,0.24,0,0.125,0.343,114.962,6TPIQmUl7e9o9NQni6cvVz,229696,4,0
0.716,0.901,1,-6.104,1,0.0653,0.124,0.06,0.269,0.437,120.996,4VwelhIHr9HY2zjUFS8QRW,170987,4,2
0.901,0.283,6,-10.156,0,0.0769,0.453,0.000111,0.0858,0.333,118.963,4uexcsJVOIsqiEZgshqKUy,279707,4,0
0.697,0.458,4,-8.092,0,0.282,0.282,0.574,0.111,0.483,90.008,5biM2vzWFcYOVFcsrYK2wA,198107,4,8
0.831,0.593,5,-6.542,0,0.0387,0.0702,1.82E-05,0.176,0.385,100.977,24hEWChF7Ons2cKMp76Iz0,207122,4,0
0.517,0.391,5,-5.028,1,0.0685,0.526,0,0.177,0.342,139.764,1PxE9RK6FBEp42F9QwzZyn,180320,3,4
0.699,0.76,0,-6.395,1,0.12,0.0908,0,0.341,0.621,172.036,3FISzZeOXxIw20PB0n5ed4,191229,4,2
0.546,0.932,8,-3.611,1,0.0718,0.343,2.14E-05,0.112,0.317,128.049,4ljtERz6W9PHVTkr6WXQFO,124014,4,6
0.713,0.677,9,-6.991,0,0.228,0.287,0,0.304,0.539,143.882,7DfwPDwnkllMCFTf5cvxv0,242160,4,3
0.442,0.843,11,-4.75,0,0.0427,0.0302,0,0.0708,0.493,97.969,4Iaq8SXTkojGc2Sy1suAT2,241227,4,3
0.841,0.402,9,-10.882,1,0.076,0.504,3.17E-06,0.0984,0.542,115.024,49LwhSMy90Q8M6WxKIxtIp,207652,4,9
0.724,0.77,3,-4.78,0,0.0491,0.0599,1.19E-05,0.25,0.794,91.023,1ses97gUxCc7U5fEg5vHYt,229001,4,3
0.652,0.7,11,-6.854,1,0.103,0.174,0,0.191,0.744,160.055,14gdcYmHyORy3ZnvLwZzRV,196125,4,2
0.768,0.796,7,-4.89,0,0.0758,0.0175,1.22E-06,0.0736,0.564,104.99,3esogDu1xpfphICWKjd8fp,192595,4,3
0.607,0.713,5,-6.206,1,0.243,0.166,0,0.769,0.482,134.994,0ToC28lLiwEKyQdN4FXypS,245333,4,1
0.503,0.741,4,-5.128,1,0.047,0.579,1.49E-06,0.0712,0.458,88.335,4keoy2fqgwGnbWlm3ZVZFa,207030,3,4
0.865,0.402,1,-7.385,1,0.0602,0.346,0,0.0939,0.539,140.031,4gOd2bxXpw32dhqTOMCN6u,164614,4,10
0.798,0.784,4,-3.545,0,0.0667,0.0441,0.0129,0.149,0.653,93.96,4R5xvs5X0phd0EYWyGigju,141508,4,3
0.398,0.955,2,-3.221,1,0.149,2.69E-05,0.000261,0.315,0.465,170.191,12V0FuYAVLwODKqzhJaDaM,245893,4,6
0.697,0.939,1,-2.818,0,0.138,0.148,0,0.344,0.722,151.079,3HT8GC31n1EsI1DkvaWbro,186149,3,3
0.512,0.998,7,-2.651,0,0.134,0.00354,0.735,0.129,0.237,136.002,6ubB2VCE4z6q66zdGfusJZ,213587,4,8
0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,4VXIryQMWpIdGgYR4TrjT1,165820,4,7
0.742,0.579,0,-5.024,1,0.202,0.0381,0,0.0952,0.502,144.994,1a7WZZZH7LzyvorhpOJFTe,258475,4,10
0.344,0.325,11,-10.005,0,0.0287,0.35,0.0223,0.0686,0.0775,118.515,0gsl92EMIScPGV1AU35nuD,312307,4,9
0.376,0.373,7,-9.184,0,0.0305,0.827,0.832,0.15,0.111,116.074,0AQqrtK1pULuwZUXhwaaDz,430000,4,8
0.329,0.388,2,-9.854,0,0.0302,0.284,6.39E-05,0.106,0.0683,128.508,48f9zJZNKuFwC2wfTGwmfJ,266867,4,9
0.513,0.262,0,-16.875,1,0.0276,0.313,5.51E-06,0.456,0.357,108.383,7dQC53NiYOY9gKg3Qsu2Bs,243000,4,9
0.388,0.72,7,-5.541,1,0.033,0.202,0.000288,0.283,0.554,141.283,01MXkFA8sL7at6txavDErt,341747,4,6
0.401,0.531,3,-6.991,1,0.0301,0.223,1.51E-05,0.149,0.173,130.651,5PihYbt4uNnVt68l5D1SGb,242853,4,6
0.762,0.625,9,-10.481,1,0.0562,0.0655,0,0.252,0.696,110.163,0v9kGNjkKdQUdDoBIuiph4,291560,4,2
0.674,0.28,5,-15.777,1,0.0282,0.482,3.51E-06,0.0751,0.389,69.042,7oQu8H2QfZCUaj5t1aOMRG,251400,4,9
0.277,0.394,8,-8.903,1,0.0336,0.423,0,0.0952,0.227,86.777,0Gl5s8IhMmQE5YQwM8Qx1J,207787,3,4
0.931,0.387,1,-9.127,1,0.412,0.088,0,0.136,0.375,125.978,1M6SuEJZJkZf2S419vIPkB,179405,4,7
0.828,0.56,0,-6.685,1,0.0327,0.548,3.66E-05,0.15,0.872,122.054,5NDUXbMwcnTQp66tI2zcdR,198001,4,2
0.674,0.778,0,-5.367,1,0.0376,0.0469,0,0.145,0.816,90.01,4Jz4bjXeiF2SXVj9P4YfY5,189933,4,2
0.826,0.694,7,-7.862,1,0.0315,0.316,0.0285,0.074,0.852,123.932,4T6FWA703h6H7zk1FoSARw,217427,4,2
0.578,0.756,2,-5.82,1,0.115,0.157,0.000232,0.249,0.663,176.739,5imShWWzwqfAJ9gXFpGAQh,201173,4,6
0.529,0.871,10,-5.831,1,0.155,0.118,0.000164,0.115,0.272,189.837,6e2PtJYcltVk76nLwxBzRn,199867,4,6
0.552,0.76,0,-4.706,1,0.342,0.0733,0,0.0865,0.639,135.702,5WvAo7DNuPRmk4APhdPzi8,260000,5,6
0.884,0.541,11,-5.608,1,0.221,0.0831,0,0.118,0.274,105.009,55GiOwtxNajXVbpjjIzMnD,194936,4,10
0.669,0.711,8,-6.758,1,0.033,0.00217,0,0.466,0.544,110.01,0bGLvHd0ApdT4t0shCfpzG,172747,4,1
0.49,0.629,2,-4.072,0,0.0399,0.0732,0,0.0957,0.3,74.967,1Gr0gAdpY33Koxxey3Q0m4,201600,4,0
0.674,0.713,6,-7.46,0,0.0359,0.0733,0.139,0.169,0.71,111.017,34wcz4mpAActEc6gtqX3wz,184600,4,3
0.656,0.577,10,-5.566,0,0.0802,0.698,0,0.296,0.861,173.094,7pT6WSg4PCt4mr5ZFyUfsF,181522,4,3
0.368,0.419,9,-8.348,1,0.0651,0.41,2.31E-06,0.196,0.328,172.079,0NdAh5vk2C5hVNy54043lj,228390,3,4
0.549,0.763,0,-5,1,0.0399,0.762,4.28E-05,0.136,0.296,143.947,2F1O1dogml0xtYKZZKNHiJ,207053,4,6
0.918,0.632,1,-6.979,1,0.278,0.0236,0,0.378,0.396,92.011,3fEpuoSr8ufvyRR7s2jB3U,231482,4,10
0.608,0.766,5,-7.835,1,0.064,0.175,4.88E-06,0.211,0.565,101.015,6jG0xJySYfz6pGSXxnZ2nA,176507,4,2
0.62,0.764,7,-4.971,0,0.105,0.00198,0,0.148,0.356,128.06,7LDtRLCz9D5DOR31jQZ65m,174427,4,3
0.759,0.492,1,-10.338,0,0.12,0.736,0.00989,0.107,0.561,104.974,5fyqqaqTmcNDixYABJO99I,288640,4,9
0.843,0.546,8,-7.714,1,0.464,0.0195,0,0.374,0.427,159.104,50wkDxcIfamIajKwmgp0iB,215533,4,7
0.823,0.604,6,-6.158,0,0.0357,0.0215,0,0.0842,0.861,120.084,7H8LnyGFot7n3VGvJKknHa,208375,4,3
0.611,0.449,2,-8.938,0,0.294,0.0984,0,0.226,0.224,166.179,5SH1T719ICzdSV29y8GtoM,142013,4,7
0.888,0.586,0,-6.745,1,0.0604,0.00597,0.0365,0.153,0.401,150.051,7D8aQaRzoi9Qzz5yerVK5b,158757,4,10
0.551,0.725,1,-7.619,0,0.189,0.194,0,0.0956,0.692,99.919,5mexbTuWx9d8DPZk4sDGF4,210960,4,0
0.822,0.814,6,-5.108,0,0.0481,0.0624,0.142,0.542,0.775,110.034,2j0Lp6HlpWz9tMvnRnsCFF,209040,4,3
0.805,0.719,8,-7.643,1,0.324,0.0288,0,0.327,0.906,137.096,55jQMevNp7aWtiW5LPlPoa,135766,4,7
0.737,0.542,8,-7.593,1,0.0732,0.295,0,0.103,0.385,119.973,4A58lXGBRCg2cumRXTRxHO,212175,4,10
0.534,0.893,9,-6.311,0,0.0329,0.035,1.76E-05,0.134,0.338,153.965,2oUAukX45EpnDxJEjT3MyL,276333,4,6
0.405,0.616,5,-5.847,0,0.0889,0.231,0,0.347,0.543,141.029,2jzFNGqC0Q1TeThJTzPL0T,174251,4,0
0.78,0.579,1,-4.759,1,0.113,0.127,0.00018,0.098,0.396,137.962,2iNIxgkPAinxoEBYfMsXye,171027,4,10
0.709,0.644,1,-6.062,1,0.172,0.00177,0.000658,0.196,0.55,92.972,0DI00upMNlJpv3jIYTcotE,186015,4,2
0.457,0.528,2,-6.984,1,0.0356,0.366,0,0.0811,0.523,104.613,2Eowpnfjs5iXP8OLToAOYA,181360,4,10
0.671,0.589,4,-7.611,1,0.0503,0.364,0,0.1,0.385,91.439,2JsKO2ygw4ft6QEy4U4RO4,138187,3,4
0.828,0.54,1,-8.54,1,0.0933,0.0259,0.179,0.145,0.485,120.048,6KflfPD0qIbbB1PQyAHla5,230013,4,10
0.619,0.627,7,-5.018,1,0.0456,0.137,4.08E-06,0.163,0.483,159.997,2Vvva65WDYzpxsFdrlQ3yl,172018,4,10
0.576,0.801,2,-6.498,0,0.0312,0.000223,0.0586,0.099,0.56,116.007,0f996DWK1s2jQXIVZihKKZ,250213,4,3
0.616,0.605,1,-4.641,0,0.093,0.0129,0,0.112,0.435,77.493,7gooAzwkAXiOE5HlriZmHN,207067,4,0
0.899,0.45,1,-6.184,1,0.25,0.354,6.98E-06,0.123,0.822,99.897,5hiegqyy2caIt1A0p0db5A,145174,4,7
0.731,0.563,2,-6.853,0,0.0572,0.177,0,0.232,0.848,121.995,24OlCyJUGgaiFLpB30oV6T,190820,4,3
0.654,0.498,1,-4.77,1,0.0543,0.0153,0,0.0679,0.538,150.111,5zNBVQGxveNNKZHyauIBIP,175400,4,10
0.66,0.788,8,-5.809,1,0.0597,0.00539,0.0246,0.144,0.94,119.994,36nTLwyYrloJDZKPOJGxGk,233000,4,2
0.644,0.733,9,-6.87,0,0.121,0.0064,7.73E-05,0.507,0.336,104.99,6jjlYmSHWFv62PmwOv6gRR,177825,4,1
0.425,0.642,4,-5.06,0,0.0502,0.164,0,0.118,0.112,170.008,1snWlbcbgQpJfknoI30DWG,211867,4,6
0.736,0.505,11,-7.313,1,0.139,0.502,5.09E-06,0.126,0.296,129.176,7kIJwSQrFxVjS3ezdIAgq7,210768,4,10
0.603,0.695,8,-6.235,1,0.0816,0.248,7.16E-06,0.658,0.624,161.899,4ARAsk7EYs7zarRQi7TYvN,196223,4,1
0.792,0.454,9,-6.753,1,0.458,0.00419,0,0.285,0.675,161.993,67KvputYgCRghvDQYj5FMq,202963,4,7
0.681,0.517,5,-5.918,1,0.222,0.251,2.11E-06,0.13,0.673,172.02,3BkUYDYqXrcl9wN741JMGl,173930,4,7
0.692,0.719,9,-5.373,1,0.124,0.408,0,0.0986,0.266,130.053,7narbj6zkSW1SnMhAPep0u,264906,4,10
0.781,0.441,6,-12.46,1,0.0341,0.256,1.74E-05,0.0767,0.789,87.185,1ZgEpCLk5sQcwMSpIpGfiQ,233427,4,9
0.675,0.649,5,-10.271,1,0.0319,0.0204,0,0.0959,0.596,116.624,0odIT9B9BvOCnXfS0e4lB5,228000,4,10
0.601,0.992,1,-1.316,1,0.0736,0.0358,1.58E-05,0.0861,0.925,167.989,1QbgglyvAK8Mxu9Vu6l1zk,198571,4,2
0.694,0.77,6,-5.335,1,0.149,0.176,1.10E-05,0.118,0.163,125.905,0E9ZjEAyAwOXZ7wJC0PD33,184560,4,10
0.553,0.586,11,-6.319,1,0.0362,0.697,0,0.0813,0.443,126.684,3EPXxR3ImUwfayaurPi3cm,196373,4,9
0.846,0.482,1,-6.721,0,0.129,0.0246,0,0.393,0.212,100.969,7xYnUQigPoIDAMPVK79NEq,229867,4,0
0.793,0.698,11,-3.626,1,0.104,0.163,0.145,0.0745,0.339,130.017,1n7omixiROWs5q6xpWiQuL,285571,4,10
0.898,0.593,9,-6.211,0,0.0615,0.00616,0.904,0.276,0.419,127.013,2RSxUNaF8EZI3B7guqXAPk,187402,4,8
0.889,0.446,7,-9.699,1,0.23,0.0302,0.000268,0.187,0.425,100.351,7lUhccMnuH9Osfgs50KiNk,250000,4,10
0.699,0.812,0,-6.005,1,0.0377,0.0164,0.000763,0.105,0.662,138.185,4dyx5SzxPPaD8xQIid5Wjj,276693,4,2
0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4BP3uh0hFLFRb5cjsgLqDh,140773,4,2
0.364,0.457,4,-14.162,0,0.0675,0.29,0.000106,0.922,0.175,163.219,0hKRSZhUGEhKU6aNSPBACZ,337413,4,1
0.487,0.532,0,-7.496,1,0.0322,0.631,0,0.184,0.609,70.838,5EoYc5wvRYOtkudLfrjsL1,164252,4,9
0.63,0.711,10,-9.34,1,0.0472,0.299,0,0.0813,0.659,96.912,1OppEieGNdItZbE14gLBEv,167933,4,2
0.592,0.355,9,-14.051,1,0.0352,0.478,0,0.0585,0.499,133.032,3NfxSdJnVdon1axzloJgba,216773,4,9
0.647,0.513,7,-12.372,1,0.0421,0.758,8.64E-06,0.108,0.955,131.641,39zODpVtRvghMyfNjZ3BVK,139640,4,9
0.687,0.63,6,-10.817,1,0.0389,0.251,0,0.221,0.926,110.051,4yQw7FR9lcvL6RHtegbJBh,139733,4,2
0.527,0.308,0,-11.809,1,0.0284,0.551,4.25E-05,0.0921,0.514,136.297,25IiJu0DjOqsnQXgNHWp5i,160865,4,9
0.524,0.519,6,-11.903,1,0.043,0.195,0,0.523,0.847,110.121,4kP69y3GKHi9tXckfgp4bK,169800,4,1
0.546,0.568,11,-9.604,0,0.0285,0.146,0,0.77,0.488,112.584,0V1hBXTdYOWv3N2FVzG3OM,145693,4,1
0.724,0.334,9,-15.124,1,0.0637,0.506,0,0.106,0.454,82.729,0OW3i3QHCyBXjKiGRBURzH,160947,4,9
0.351,0.296,4,-10.109,0,0.0333,0.934,0,0.095,0.12,115.284,0u2P5u6lvoDfwTYjAADbn4,200186,4,9
0.511,0.363,4,-7.65,0,0.041,0.816,0.0317,0.084,0.169,144.892,7hDVYcQq6MxkdJGweuCtl9,200379,4,9
0.787,0.899,7,-7.896,1,0.0562,0.178,0,0.358,0.536,101.098,7623p8KZ24WTeO0NeIb4tV,279840,4,2
0.311,0.325,2,-9.042,1,0.0283,0.0469,0,0.139,0.668,65.09,25yQPHgC35WNnnOUqFhgVR,208467,1,5
0.529,0.127,11,-16.066,1,0.0274,0.611,0.000109,0.237,0.578,63.05,62AuGbAkt8Ox2IrFFb8GKV,203573,4,9
0.623,0.709,1,-9.818,0,0.0636,0.102,0,0.0967,0.948,122.394,0iA3xXSkSCiJywKyo1UKjQ,165381,4,3
0.519,0.707,1,-7.483,1,0.0332,0.106,1.21E-06,0.167,0.83,139.684,4qvdAp6MMl59RjaTOti9QD,167507,4,2
0.656,0.291,2,-10.572,1,0.0293,0.872,0,0.114,0.298,103.971,4RCWB3V8V0dignt99LZ8vH,232533,4,9
0.665,0.673,0,-7.95,1,0.0493,0.259,7.62E-06,0.497,0.779,132.642,5Wj1rJnCLpMHdLaxsFtJLs,322549,4,1
0.558,0.524,2,-11.626,0,0.0459,0.321,0.000952,0.94,0.636,93.654,3BEZCNZSmVv30vsMNSOCri,289027,4,1
0.417,0.349,2,-11.984,1,0.0285,0.346,0,0.0963,0.198,145.505,1Xwh83YOFQARZ3QXscP123,188947,4,9
0.766,0.622,5,-5.292,0,0.101,0.0639,0,0.207,0.679,140.076,2ZIZXWnU52s0C75sPYiwvh,191493,4,3
0.472,0.204,9,-13.419,1,0.0408,0.966,4.12E-05,0.69,0.296,129.504,7htt7UuxHL5wneOcMWJP5E,253907,4,9
0.78,0.575,1,-5.628,0,0.139,0.106,0,0.129,0.273,81.502,0SGkqnVQo9KPytSri1H6cF,222360,4,0
0.812,0.522,2,-5.287,1,0.257,0.0433,0,0.154,0.38,75.524,0Fv5N0cHBsl4bzCbollCAS,142907,4,10
0.678,0.659,1,-4.694,1,0.312,0.492,0,0.106,0.675,173.988,3PdgIdRXJjgxfOr7slldel,243180,4,7
0.75,0.585,9,-7.576,0,0.0285,0.049,0.00552,0.155,0.584,102.331,5mIOsPuQdXchVY0jB5NO9Q,159595,4,0
0.846,0.809,2,-3.619,1,0.287,0.034,0,0.151,0.267,85.011,2cEnYJKLSZPH7MFSk6C05c,216277,4,10
0.524,0.274,6,-13.931,1,0.295,0.502,0.257,0.0924,0.342,167.998,1olz3HctPa2yXmSniaCNLN,230000,4,9
0.756,0.358,10,-6.297,0,0.0588,0.829,1.62E-05,0.131,0.509,110.093,5Gnx5bNAglWcclJkuJnrys,60000,4,9
0.589,0.57,1,-9.54,1,0.361,0.0456,1.51E-06,0.137,0.441,136.203,74ZovzRxHBvCq5yIwe8boh,151027,4,7
0.768,0.443,0,-8.978,0,0.383,0.434,1.13E-06,0.106,0.675,144.125,3PqnBkr83kaVQNKP0qYjQF,215625,4,7
0.68,0.62,0,-5.117,1,0.0607,0.319,1.14E-06,0.158,0.537,95.078,4jwP0pxx7su04FYc6J12EQ,205263,4,2
0.857,0.668,7,-6.816,1,0.052,0.0175,0.000595,0.101,0.624,89.986,6dktyiCWz2JYGmcPQ5D5dY,161713,4,2
0.854,0.578,5,-8.824,1,0.0889,0.669,1.10E-06,0.0844,0.306,137.025,70zNGrBQwXupGTbNLhSib9,212472,4,9
0.409,0.678,9,-7.731,1,0.0878,0.359,4.76E-06,0.167,0.168,89.968,6TodWdTSDfzwgYynTZSvJn,280842,4,6
0.681,0.659,9,-6.405,1,0.268,0.000856,8.17E-06,0.11,0.225,156.004,2PqSNVmiEQpFkLoNPoDfwI,173294,4,7
0.739,0.453,5,-8.363,0,0.0449,0.25,0.0148,0.289,0.636,139.919,1kLXQonNqsJxCPFkUet3pV,248382,4,0
0.61,0.318,8,-9.95,1,0.148,0.506,0.000617,0.102,0.214,109.491,3iGz75NJkqHubYUMRELLyP,192607,3,4
0.758,0.438,1,-8.242,0,0.118,0.265,0.00298,0.0821,0.154,144.018,1sUHNPEEcAEoo3h8RB4aqK,207871,4,0
0.672,0.588,1,-9.573,1,0.133,0.619,0.241,0.0992,0.204,169.033,1VGzxJnVQND7Cg5H5wGj14,174358,4,9
0.516,0.456,9,-9.242,1,0.0397,0.281,1.27E-05,0.0847,0.238,145.843,3kYARoLSAvt86VFZ55BQcq,178023,4,10
0.554,0.589,3,-8.163,0,0.231,0.613,0.000257,0.0982,0.414,74.982,4TwVtW8hS5LyLoDtJGpUOg,207308,4,0
0.792,0.576,1,-7.046,1,0.132,0.0597,0,0.186,0.52,130.135,3BIIJgBJJ7NhhCv4MI6n7w,164313,4,10
0.811,0.57,5,-8.093,1,0.129,0.253,0,0.148,0.814,128.066,1t4pPnbkOjzoA5RvsDjvUU,251250,4,2
0.752,0.624,4,-4.789,0,0.0759,0.353,0,0.358,0.459,140.067,20DInrAonQILzH7q8CvNVF,175179,4,0
0.696,0.463,7,-8.562,1,0.126,0.824,0,0.104,0.53,81.35,6NqbN00vLmWfrQSx2wjD4z,174200,4,9
0.897,0.293,1,-8.771,1,0.171,0.0507,3.91E-05,0.1,0.204,145.029,267oHg8E2PIn735MaEp3cX,145987,4,10
0.765,0.609,1,-5.285,0,0.19,0.255,1.28E-05,0.119,0.547,77.957,2NWoKpRnMfxocVAXF8ASwk,221667,4,0
0.558,0.559,6,-9.222,1,0.0959,0.371,7.49E-06,0.109,0.62,78.558,7KA4W4McWYRpgf0fWsJZWB,180387,4,10
0.539,0.804,10,-5.504,0,0.172,0.00247,0.000185,0.463,0.798,85.752,5xJeZ6tLPOXNIrrphEIuay,93840,4,3
0.699,0.583,6,-9.731,0,0.0357,0.05,0.00029,0.091,0.484,109.001,32T61xmNSIXhGkEszzs0t8,193762,4,0
0.635,0.214,0,-13.984,1,0.0295,0.79,0.00107,0.147,0.322,81.015,6JS7gLuqIg5uPELAYBwxEq,225830,4,9
0.461,0.653,6,-8.617,1,0.327,0.158,0,0.197,0.588,81.628,2F1GDrbrhsU8oLwA4n7vxc,322000,1,5
0.78,0.495,5,-7.454,0,0.0466,0.44,0.00122,0.165,0.529,100.043,0d8anwJJGti8jE79Y4tXUD,167493,4,0
0.711,0.681,2,-5.188,1,0.222,0.295,6.47E-06,0.137,0.461,99.694,58VCh2HRH383vAoG7be3wo,158000,4,10
0.585,0.568,10,-6.382,1,0.0629,0.12,1.88E-05,0.251,0.556,135.309,5WI0wR52v8MHv65GVwRRyE,285200,4,6
0.62,0.282,5,-10.533,0,0.0464,0.694,0,0.119,0.193,124.609,6fbYL76UWbHdYq4B91TPQi,211205,3,4
0.692,0.57,7,-8.077,1,0.185,0.666,0,0.107,0.309,91.917,1It1TxBK3xIQAB4xJkPevn,250454,4,9
0.834,0.731,10,-5.603,0,0.0566,0.0462,0,0.0731,0.681,140.001,4KYS9GK68yeuUJ8vJfPxrq,176720,4,3
0.731,0.811,1,-3.225,1,0.0712,0.0204,0,0.411,0.426,147.045,6OaVWaGfhXn70ZJfdVcabn,218284,4,6
0.702,0.708,10,-5.366,0,0.0547,0.201,0,0.118,0.713,147.98,27a1mYSG5tYg7dmEjWBcmL,198408,4,3
0.607,0.609,0,-5.978,0,0.291,0.389,1.60E-05,0.111,0.556,74.946,4SZepBIPDRwPaHIjAKwRDb,185610,4,0
0.588,0.567,4,-3.738,0,0.0628,0.221,0,0.135,0.113,150.009,1xYpVRspgaLxdJLOTQkTjg,338438,4,6
0.741,0.645,11,-5.116,0,0.0963,0.192,0,0.163,0.488,149.07,20MuVazoNMv6xjKPnRFOxG,231964,4,3
0.763,0.628,11,-5.85,1,0.05,0.0531,0,0.114,0.193,140.958,2cYqizR4lgvp4Qu6IQ3qGN,190557,4,10
0.81,0.582,5,-5.098,0,0.125,0.0862,0.00681,0.207,0.503,95.004,6vnfObZ4Ys70SBAtti1xZ9,209116,4,0
0.785,0.554,0,-6.571,1,0.0409,0.283,3.40E-06,0.116,0.144,128.047,7lAK3oHbfEnvUQWosrMMpR,150043,4,10
0.32,0.818,4,-4.722,0,0.0421,6.00E-05,0,0.174,0.289,177.967,5vrMgnyrAxJ88q3E43bKvQ,251507,4,6
0.632,0.398,8,-10.542,1,0.0273,0.419,0,0.0673,0.264,128.002,0ouQk4M3Lq2jIsuHQn2LTt,241373,4,9
0.45,0.646,0,-4.443,1,0.0566,0.00442,0.000473,0.0855,0.3,90.246,2bkNIMseHRfLidQqpXGsBx,187160,1,5
0.703,0.475,10,-12.104,1,0.207,0.209,0,0.125,0.185,160.118,6cya3wdI2mE0IloeTyi4qn,224110,4,10
0.639,0.751,6,-5.392,1,0.111,0.188,0,0.0929,0.414,89.998,3z6ErCqNLgspjTSlKMGyFZ,203000,4,10
0.709,0.616,9,-6.246,1,0.213,0.38,1.57E-05,0.312,0.576,91.921,6kyhJvTKWQzlcYywNZRDsy,216848,4,10
0.816,0.754,2,-5.922,1,0.152,0.163,0.00199,0.105,0.704,92.023,533k5CBeYKZeNX6Lpz2Vf4,125217,4,2
0.702,0.666,5,-8.307,0,0.0463,0.0472,0.000119,0.139,0.109,119.93,11u6Qkl4ri0fMWZIQDmFUJ,297268,4,0
0.66,0.831,6,-5.535,0,0.0469,0.0371,0,0.238,0.62,110.034,2OEnTdzQVj5sQySEJwiYBu,204173,4,3
0.772,0.732,9,-3.713,0,0.213,0.307,5.14E-06,0.106,0.295,100.048,2XXMDz7SPZ4mSFN1PXfHUy,254383,4,0
0.584,0.81,11,-3.092,1,0.0406,0.0188,0,0.313,0.57,119.859,3ZAJJoHHCVGLIoScl26Hf4,142444,4,2
0.548,0.839,6,-2.371,1,0.0644,0.135,0,0.102,0.314,98.932,4QVS8YCpK71R4FsxSMCjhP,218296,4,6
0.638,0.717,2,-4.722,1,0.0337,0.346,0,0.105,0.249,100.027,4VUwkH455At9kENOfzTqmF,180000,4,10
0.857,0.812,7,-2.8,1,0.194,0.0143,0,0.115,0.629,141.055,304uNQQwqlpGD8PJFraNUj,197571,4,2
0.672,0.721,5,-5.18,0,0.0814,0.0992,5.18E-05,0.481,0.679,173.897,6RWJCgbW4PO86qflugW1UR,176129,4,3
0.924,0.664,11,-4.768,0,0.216,0.0198,0.00352,0.116,0.29,140.002,4XzGuiMHSVmgRozWYS6Szp,164520,4,3
0.848,0.52,5,-10.663,0,0.501,0.00225,0.000799,0.679,0.304,149.996,2XSrt1dcuOXPgl3B4bxmBz,203897,4,7
