danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,cluster
0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,3DamFFqW32WihKkTVlwTYQ,228347,4,6
0.616,0.869,0,-3.911,1,0.0327,0.0283,0,0.064,0.473,127.966,6ebkx7Q5tTxrCxKq4GYj0Y,234560,4,6
0.809,0.562,11,-7.694,0,0.0534,0.0816,0.000418,0.105,0.798,130.003,4MKzCHlZvkwJOQRNkdw4zq,194347,4,3
0.835,0.669,6,-5.582,0,0.0643,0.0336,6.92E-05,0.0535,0.542,122.668,0ByMNEPAPpOR5H69DVrTNy,267080,4,3
0.63,0.5,1,-8.755,0,0.0611,0.611,4.04E-05,0.114,0.315,144.871,6y6jbcPG4Yn3Du4moXaenr,245172,4,9
0.717,0.583,1,-5.008,1,0.146,0.506,0,0.0821,0.816,139.76,6OSmeoh8kXhCfz9WqvzDoJ,252933,4,2
0.825,0.652,1,-3.183,0,0.0802,0.581,0,0.0931,0.931,95.977,7qiZfU4dY1lWllzX7mPBI3,233713,4,3
0.656,0.741,11,-4.998,0,0.18,0.0847,0,0.111,0.882,154.937,64oWLmeRfpTwiuxthP7yCe,212129,4,3
0.8,0.795,6,-5.835,1,0.0626,0.131,9.02E-05,0.221,0.528,106.031,4rHmKlFRiFzabiVO6e9w2e,227813,4,2
0.845,0.467,1,-7.674,1,0.138,0.0586,0,0.0694,0.702,138.007,7wBThXx7BGZHJJ3aN3OPvv,211200,4,2
0.462,0.538,0,-5.527,1,0.059,0.0137,0,0.429,0.405,139.256,1BECwm5qkaBwlbfo4kpYx8,203507,4,6
0.71,0.47,1,-9.33,0,0.142,0.154,0,0.643,0.581,80.027,00GOPLxW4PGQuUYdPJh8K1,180675,4,1
0.83,0.857,8,-4.194,0,0.152,0.262,0,0.413,0.607,137.982,2VqAEP1yY5T523K7bZtL8a,240747,4,3
0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,34gCuhDGsG4bRPIf9bb02f,281560,4,10
0.69,0.622,5,-5.025,0,0.0622,0.253,0,0.116,0.544,102.04,6uBhi9gBXWjanegOb2Phh0,210091,4,0
0.551,0.651,8,-5.828,0,0.0594,0.225,0,0.224,0.562,144.875,762UXiwEHYY97VL45sAUPR,194907,4,3
0.839,0.81,5,-5.274,0,0.0568,0.501,0,0.117,0.814,129.014,1f5cbQtDrykjarZVrShaDI,209269,4,3
0.832,0.391,8,-8.504,1,0.0628,0.0564,0,0.224,0.436,104.961,1RGIjMFMgJxkZHMDXVYzOJ,238800,4,10
0.828,0.487,6,-6.142,0,0.0343,0.247,1.86E-05,0.136,0.761,85.027,7gDwRzJhLs0fFHaGtMDJVM,280160,4,0
0.766,0.64,0,-8.899,1,0.0345,0.051,0,0.237,0.67,100.044,0qgZvYWLIqDn0tXimF8gPa,165600,4,2
0.646,0.756,9,-9.017,0,0.488,0.393,3.00E-05,0.202,0.602,193.88,5GG3knKdxKWrNboRijxeKF,169267,4,7
