danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
0.646,0.756,9,-9.017,0,0.488,0.393,3.00E-05,0.202,0.602,193.88,169267,4,7
0.743,0.675,8,-4.267,0,0.0953,0.0251,0.000717,0.0685,0.59,92.909,214400,4,3
0.663,0.6,7,-10.87,1,0.032,0.43,0,0.184,0.8,129.991,151667,4,2
0.805,0.602,0,-9.7,0,0.0579,0.119,0.000122,0.0581,0.744,94.382,238600,4,0
0.55,0.611,3,-10.657,1,0.0443,0.0392,0,0.0631,0.626,168.512,290960,4,6
0.576,0.793,3,-4.016,0,0.0294,0.025,0,0.155,0.257,111.965,240720,4,6
0.645,0.676,4,-5.281,0,0.0279,0.0174,0,0.181,0.167,112.035,236120,4,0
0.352,0.911,1,-5.23,1,0.0747,0.00121,0,0.0995,0.236,148.033,222973,4,6
0.497,0.97,10,-4.851,0,0.0836,9.04E-05,0.000674,0.101,0.689,138.081,197200,4,3
0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23E-06,0.109,0.417,138.015,242373,4,0
0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640,4,10
0.643,0.344,2,-11.342,1,0.0349,0.909,0.0112,0.106,0.547,144.171,250907,4,9
0.592,0.767,9,-2.788,0,0.027,0.0021,0.00165,0.127,0.328,96.483,329733,4,6
0.458,0.795,0,-3.265,1,0.0574,0.00316,0.000202,0.0756,0.513,123.229,255373,4,6
0.556,0.913,0,-2.36,1,0.0437,0.0193,8.59E-06,0.346,0.73,96.184,282160,4,6
0.442,0.943,3,-3.205,1,0.0602,0.00293,8.71E-06,0.091,0.781,85.064,181533,4,2
0.423,0.714,11,-8.295,1,0.045,0.00113,6.28E-06,0.0855,0.593,110.017,227250,4,6
0.391,0.951,6,-7.419,1,0.0692,0.0126,0.000378,0.0878,0.468,157.66,148360,4,6
0.718,0.691,4,-6.44,1,0.0387,0.0159,0,0.0627,0.552,100.008,213107,4,2
0.465,0.954,10,-4.251,1,0.044,0.000346,5.38E-06,0.573,0.458,143.85,193653,4,1
0.518,0.916,3,-3.858,1,0.0454,0.000148,0,0.291,0.646,109.864,238880,4,6
0.463,0.857,4,-3.063,1,0.0632,0.0506,0,0.184,0.856,111.647,161920,4,2
0.225,0.948,9,-2.945,1,0.136,0.00718,0,0.25,0.239,179.634,188187,4,6
0.685,0.803,2,-4.251,1,0.156,0.0601,0,0.546,0.799,107.005,205280,4,1
0.58,0.702,4,-5.565,1,0.0337,0.0466,3.20E-06,0.536,0.299,105.076,208960,4,1
0.392,0.964,10,-4.441,0,0.0644,7.13E-05,0.0387,0.106,0.269,167.024,200547,4,6
0.794,0.811,6,-8.966,0,0.038,0.0426,1.07E-06,0.101,0.862,116.047,248413,4,3
0.613,0.697,2,-8.618,1,0.133,0.0194,0,0.332,0.476,122.746,320357,4,6
0.775,0.585,10,-9.516,0,0.0271,0.0422,0.619,0.077,0.518,109.942,337560,4,8
0.812,0.516,9,-6.963,1,0.224,0.000369,1.09E-05,0.0991,0.633,127.498,284280,4,10
0.689,0.694,6,-5.83,0,0.027,0.257,0,0.148,0.482,99.039,213307,4,0
0.768,0.864,11,-6.145,1,0.0324,0.101,0,0.162,0.891,110.008,173027,4,2
0.731,0.853,10,-4.219,0,0.0363,0.0352,0,0.268,0.605,108.016,225360,4,3
0.736,0.811,9,-4.17,0,0.081,0.00132,0.000142,0.107,0.609,103.502,216733,4,3
0.741,0.894,4,-3.826,1,0.0496,0.0814,0.0527,0.089,0.96,114.879,202853,4,2
0.609,0.923,9,-3.908,1,0.0338,0.16,4.73E-06,0.295,0.961,115.996,294987,4,2
0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,261973,4,2
0.713,0.678,5,-3.525,0,0.102,0.273,0,0.149,0.734,138.009,271333,4,3
0.425,0.954,1,-3.756,0,0.0476,0.00414,0,0.0555,0.933,178.043,243160,4,6
0.383,0.662,2,-5.162,1,0.0333,0.165,0,0.248,0.138,121.154,298760,4,6
0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,200400,4,3
0.749,0.745,2,-10.625,1,0.164,0.000501,0.00403,0.333,0.481,101.972,195107,4,10
0.392,0.965,10,-4.441,0,0.063,6.97E-05,0.0427,0.106,0.298,167.094,200547,4,6
0.68,0.846,8,-5.252,1,0.054,0.000753,2.35E-05,0.144,0.926,89.962,277853,4,2
0.331,0.943,4,-3.188,0,0.0698,0.00721,2.06E-06,0.242,0.296,94.612,235893,4,6
0.212,0.924,7,-3.349,0,0.135,0.000729,2.23E-06,0.0831,0.244,162.128,348387,4,6
0.949,0.79,8,-5.957,1,0.0756,0.00437,0,0.0816,0.807,117.002,246053,4,2
0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999,211000,4,3
0.594,0.874,0,-3.716,1,0.0815,0.0116,0,0.549,0.628,119.964,196413,4,1
0.839,0.804,1,-2.513,1,0.0329,0.0192,0,0.331,0.888,122.973,239987,4,2
0.66,0.666,9,-4.342,1,0.0472,0.0759,0,0.0268,0.933,89.975,214227,4,2
0.56,0.825,11,-3.862,1,0.0379,0.323,0,0.161,0.268,94.931,237493,4,6
0.657,0.588,8,-6.005,1,0.0272,0.0252,0,0.0884,0.105,118.021,184880,4,10
0.617,0.717,10,-7.858,0,0.153,0.00564,0,0.408,0.49,103.992,311867,4,0
0.939,0.742,5,-5.171,0,0.0467,0.321,0,0.107,0.924,118.978,212360,4,3
0.597,0.517,0,-6.963,1,0.366,0.179,0,0.307,0.413,92.035,257560,4,7
0.684,0.834,2,-4.524,0,0.0675,0.0646,0,0.271,0.538,164.02,217667,4,3
0.752,0.836,10,-3.173,1,0.115,0.0843,0.000425,0.424,0.519,120.003,172053,4,2
0.784,0.757,8,-3.912,1,0.0384,0.495,1.18E-06,0.142,0.587,104.996,198286,4,2
0.854,0.674,11,-4.896,1,0.0705,0.0204,0,0.101,0.818,125.845,210800,4,2
0.733,0.664,8,-6.163,1,0.295,0.102,0,0.191,0.557,148.005,288133,4,7
0.415,0.926,5,-1.304,0,0.374,0.253,0,0.256,0.542,158.423,357347,4,6
0.549,0.932,8,-4.11,0,0.343,0.0127,0,0.347,0.787,82.439,196133,4,3
0.442,0.83,9,-4.02,1,0.146,0.128,0,0.129,0.578,89.338,215747,4,6
0.545,0.781,10,-3.616,1,0.185,0.0139,0,0.161,0.277,150.097,232507,4,6
